axis,domain,loading
axis6,egf,0.06297669863331438
axis6,madrs,0.0021913295920214103
axis6,ymrs,0.03749619257201016
axis6,fast,0.06522967987441616
axis6,isf,-0.04123827707203547
axis6,suncf_cigarettes_lt,-0.00849414658142034
axis6,sudose_cigarettes_lt,-0.10343909025288282
axis6,agedebut_cigarettes_lt,0.06220282379255555
axis6,agetrt,-0.0013443357450748802
axis6,agedebutpremier_episode,-0.007154710855580291
axis6,cetermpremier_episode,0.10575803059848335
axis6,ppartpremier_episode,0.008590694553849058
axis6,remisc,-0.03536631830602815
axis6,saison,0.06846759499699727
axis6,somat_all,0.0734328365392545
axis6,pregnn_rporres,0.1765230005383758
axis6,menostat_rporres,0.01110396035455777
axis6,mere_structure,0.11080340139524679
axis6,mere_trouble,-0.051331088440152946
axis6,mere_suicide,-0.05104951575141481
axis6,pere_structure,0.11495012794969464
axis6,pere_trouble,0.07517594325060258
axis6,pere_suicide,-0.04613660589903875
axis6,agedebut_hospitalisation,0.08067486416286454
axis6,nboccur_hospitalisation_lt,0.053013655634808476
axis6,hodur_hospitalisation_lt,0.030742232924794284
axis6,hooccur_arret_travail_actuel,0.4687308755177518
axis6,hooccur_arret_travail,0.4477758211499461
axis6,maristat,0.11922416198884205
axis6,edulevel,0.19850823070691115
axis6,stprof,0.321818874783096
axis6,lvsbjind,0.053913735805952386
axis6,metabolic_syndrome,0.0031824658710798656
axis6,cholesterol,0.009925511287697723
axis6,inflammation,-0.03360943858730499
axis6,prolactin,-0.16169074595537922
axis6,hepatic,0.04155462215502867
axis6,renal,0.06891920023806102
axis6,cardiac_qtc,-0.005040323722489619
