item,home_factor,family,modeling_block,item_sign,n_obs,frac_missing,n_distinct,modal_frac,frac_zero,minimum,maximum,mean,sd,median,skew,kurtosis,normaltest_p_raw,normaltest_p_yeojohnson,empirical_form,recommended_tier,n_bp,n_sz,n_dr
naisstyp,developmental_risk,bernoulli,explicit,1,6345,0.29601686452901366,2,0.8921985815602836,0.8921985815602836,0.0,1.0,0.10780141843971631,0.31012944494533484,0.0,2.5292573017658153,4.397142498535693,0.0,,binary,keep_binary,4322,1610,413
pere_structure,developmental_risk,bernoulli,explicit,1,7262,0.19427493620326197,2,0.5038556871385294,0.49614431286147065,0.0,1.0,0.5038556871385294,0.4999851334556756,1.0,-0.01542320713370237,-1.9997621246817106,0.0,,binary,keep_binary,4985,1822,455
traumacra_mhoccur,developmental_risk,bernoulli,explicit,1,7138,0.20803284145123713,2,0.8709722611375735,0.8709722611375735,0.0,1.0,0.12902773886242644,0.3352306392119848,0.0,2.213236009749022,2.8984136348497715,0.0,,binary,keep_binary,4712,1933,493
agepere,developmental_risk,gaussian,continuous,1,5989,0.3355153666925552,49,0.08031390883286024,0.0,14.0,70.0,31.370679579228586,6.441344210148508,31.0,0.8284720392187972,1.38382950610983,3.235040065731018e-155,0.7882119697169838,count,gaussianize,4233,1338,418
apgr0106_1min,developmental_risk,gaussian,continuous,-1,938,0.8959281038499944,10,0.7164179104477612,0.0628997867803838,0.0,10.0,8.957356076759062,2.5384661694965374,10.0,-2.878445504735064,7.1012563554181,3.575052114518706e-122,4.6755108357870584e-62,ordinal_10,gaussianize,900,0,38
brthcirc,developmental_risk,gaussian,continuous,-1,651,0.9277709974481305,27,0.23195084485407066,0.0,27.0,42.0,34.36497695852535,1.6324858179186885,34.5,-0.2572927138646713,2.1815977345982995,2.705660011662568e-10,2.053399530182761e-09,continuous_symmetric,gaussianize,631,0,20
brthht,developmental_risk,gaussian,continuous,-1,1317,0.8538777321646511,46,0.255125284738041,0.0,30.0,66.0,50.04962794229309,2.7820213992392566,50.0,-0.6758564902881462,6.291412411961296,3.6057446878689615e-58,3.5474818988684025e-37,continuous_heavy_tailed,gaussianize,1253,0,64
ctq29,developmental_risk,gaussian,continuous,1,8190,0.09131254854099635,21,0.5888888888888889,0.0,5.0,25.0,6.643956043956044,3.040342821429245,5.0,2.677235769389429,8.278915875259393,0.0,0.0,count,gaussianize,5900,1833,457
ctq31,developmental_risk,gaussian,continuous,1,8176,0.09286586042383227,21,0.07974559686888454,0.0,5.0,25.0,12.50146771037182,5.1018249870097225,12.0,0.44686041423470785,-0.5921996241705072,7.56582033082247e-110,9.89842555477336e-192,count,gaussianize,5894,1826,456
ctq33,developmental_risk,gaussian,continuous,1,8189,0.09142349938977035,21,0.30943949200146537,0.0,5.0,25.0,7.698009524972524,2.9953800376279687,7.0,1.3688922934751686,1.9169169107281903,0.0,0.0,count,gaussianize,5902,1832,455
ctq35,developmental_risk,gaussian,continuous,1,8176,0.09286586042383227,21,0.7164872798434442,0.0,5.0,25.0,6.5881849315068495,3.558334437036567,5.0,2.851409562812925,8.488907431833171,0.0,2.1610405429345e-311,count,gaussianize,5893,1828,455
ctq37,developmental_risk,gaussian,continuous,1,8179,0.09253300787751029,21,0.22105391857195256,0.0,5.0,25.0,10.369238293189877,5.21850353182755,9.0,0.9383233846900613,0.022085231330643218,6.055412427575984e-192,0.0,count,gaussianize,5894,1830,455
ctq39,developmental_risk,gaussian,continuous,1,8122,0.09885720625762784,87,0.03472051218911598,0.0,25.0,119.0,43.76951489780842,14.517405138107225,41.0,1.1700164975221057,1.5962020140821922,0.0,2.4904786339870417e-116,count,gaussianize,5865,1804,453
gstabrth,developmental_risk,gaussian,continuous,-1,1886,0.7907466992122489,25,0.22693531283138918,0.0,25.0,44.0,38.852279957582184,2.8248260483970022,40.0,-1.7725064844631135,3.7952052938797225,5.545267794426724e-144,0.03319821940299296,continuous_heavy_tailed,gaussianize,1077,737,72
wurs,developmental_risk,gaussian,continuous,1,6017,0.3324087429268834,99,0.021273059664284527,0.005484460694698354,0.0,100.0,34.90958949642679,20.560271139374347,32.0,0.48283628710914867,-0.48037966014640876,7.158441139087005e-69,1.6774646648717603e-45,count,gaussianize,5792,225,0
apgr0106_5min,developmental_risk,ordered_logistic,explicit,-1,883,0.9020304005325641,8,0.869762174405436,0.06795016987542468,0.0,10.0,9.210645526613817,2.541795571020267,10.0,-3.2408111964943416,8.778387358925405,8.987671747890968e-130,1.5928259597314614e-102,ordinal_8,keep_ordinal,843,0,40
ctq40,developmental_risk,ordered_logistic,explicit,1,8099,0.1014090757794297,4,0.7187307074947524,0.7187307074947524,0.0,3.0,0.4422768242992962,0.8115237143944477,0.0,1.8473771328134434,2.5006045149687317,0.0,0.0,count_zero_inflated,keep_ordinal,5877,1828,394
prembrth,developmental_risk,ordered_logistic,explicit,1,6517,0.2769333185398868,3,0.8622065367500383,0.0,1.0,3.0,1.9306429338652755,0.3646684255966577,2.0,-0.8527419701178169,3.924681146968962,1.4394689787557174e-260,3.602203525178985e-201,ordinal_3,keep_ordinal,4547,1544,426
acne_mhoccur,inflammatory,bernoulli,explicit,1,7096,0.21269277709974477,2,0.866826381059752,0.866826381059752,0.0,1.0,0.13317361894024804,0.3397622788930602,0.0,2.1593119886931893,2.662628264514135,0.0,,binary,keep_binary,4687,1916,493
eczema_mhoccur,inflammatory,bernoulli,explicit,1,7108,0.21136136691445695,2,0.8785875070343275,0.8785875070343275,0.0,1.0,0.12141249296567248,0.32660603104892755,0.0,2.31831301962463,3.374575256961071,0.0,,binary,keep_binary,4690,1925,493
migraine_mhoccur,inflammatory,bernoulli,explicit,1,5378,0.40330633529346505,2,0.7802156935663815,0.7802156935663815,0.0,1.0,0.21978430643361846,0.4141004287357256,0.0,1.3533707000589081,-0.16838774822206037,1.6926985242910605e-215,,binary,keep_binary,4742,140,496
psoriasis_mhoccur,inflammatory,bernoulli,explicit,1,6224,0.30944191723066683,2,0.9227185089974294,0.9227185089974294,0.0,1.0,0.07728149100257069,0.2670375669283075,0.0,3.1659853245361393,8.023463075178205,0.0,,binary,keep_binary,4651,1080,493
somat_all,inflammatory,bernoulli,explicit,1,7742,0.14101852879174526,2,0.7487729268922759,0.7487729268922759,0.0,1.0,0.2512270731077241,0.4337188384719418,0.0,1.1471621927640552,-0.6840189034927651,0.0,,binary,keep_binary,5322,1925,495
toxidermi_mhoccur,inflammatory,bernoulli,explicit,1,7102,0.2120270720071008,2,0.9414249507181076,0.9414249507181076,0.0,1.0,0.05857504928189242,0.2348276237658515,0.0,3.759565792466187,12.134334947881912,0.0,,binary,keep_binary,4693,1917,492
baso_lbstresc,inflammatory,lognormal,continuous,1,5266,0.41573283035615227,192,0.17679453095328523,0.17679453095328523,0.0,9.0,0.06831667299658185,0.21426104384607497,0.04,21.485123572172505,706.9652617635369,0.0,1.858939029229731e-25,continuous_heavy_tailed,gaussianize,4875,0,391
crp,inflammatory,lognormal,continuous,1,5704,0.3671363585931432,337,0.07345722300140252,0.07345722300140252,0.0,327.0,3.574183906030855,7.320660909042008,2.0,20.216297041069097,752.4300052109484,0.0,1.411295868745868e-96,continuous_heavy_tailed,gaussianize,3813,1510,381
eos,inflammatory,lognormal,continuous,1,6995,0.22389881282591817,491,0.10450321658327377,0.0416011436740529,0.0,18.3,0.2298073624017155,0.4556589536266503,0.17,19.476384604748816,587.6212323924257,0.0,1.1995019736881267e-05,continuous_heavy_tailed,gaussianize,4889,1713,393
lym_lbstresc,inflammatory,lognormal,continuous,-1,5287,0.4134028625318984,926,0.022697181766597314,0.0,0.03,68.98,2.3226678456591636,2.8527128158483896,2.0,12.838748091627028,196.59252067565902,0.0,2.1934007720509147e-84,continuous_heavy_tailed,gaussianize,4887,0,400
mono_lbstresc,inflammatory,lognormal,continuous,1,5282,0.41395761677576837,541,0.06739871260886028,0.003029155622870125,0.0,12.7,0.5721697463082166,0.6596910655038579,0.5,10.705881903606887,131.4407768593235,0.0,3.2854707859955575e-105,continuous_heavy_tailed,gaussianize,4877,0,405
neut,inflammatory,lognormal,continuous,1,7006,0.22267835348940423,1493,0.011133314302026834,0.0,0.566,77.2,4.446416471595775,4.548996032690645,3.7055,9.683960872523372,113.99373073001559,0.0,2.0520282765185753e-29,continuous_heavy_tailed,gaussianize,4884,1713,409
plat,inflammatory,lognormal,continuous,1,7052,0.2175746144458005,414,0.009784458309699377,0.0,1.65,712.0,249.99700368689733,65.41978922166977,244.0,0.4258282124147916,2.020038548859354,1.0130418865549831e-115,8.98469419465082e-91,continuous_symmetric,gaussianize,4950,1708,394
wbc,inflammatory,lognormal,continuous,1,7097,0.21258182625097077,918,0.01465407918838946,0.0,0.36,35.0,6.912600704523037,2.1988647121109146,6.55,1.556604920008967,7.357638599049615,0.0,5.714372289897848e-43,continuous_heavy_tailed,gaussianize,4964,1719,414
