item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
madrs,suicidality,,continuous,gaussian,window,0.04519068361276868,0.04519068361276868,0.024672423486371494,0.0658922403614178,True
mere_structure,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.06968102045428867,0.06968102045428867,-0.11000295554467297,-0.027297772819036635,True
mere_structure,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.24526139573016056,0.24526139573016056,0.18344742492151306,0.303566090372148,True
mono_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.002210656473548305,0.002210656473548305,-0.023307542931047583,0.02906598494559333,False
mono_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.12461099497008121,0.12461099497008121,0.09486204455741012,0.1551105882923485,True
naisstyp,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,0.023904167352378443,0.023904167352378443,-0.04062853887801416,0.08613698855581117,False
naisstyp,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.020842390781737982,0.020842390781737982,0.0009153261421996111,0.08079692792709499,True
neut,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.1291330924002289,0.1291330924002289,0.10609353850392918,0.15211718884834385,True
neut,immunometabolic,immunometabolic,continuous,lognormal,primary,0.13543582228345713,0.13543582228345713,0.11142678466161185,0.15992425424595846,True
pere_structure,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.09875594068057666,0.09875594068057666,-0.1416709349670066,-0.056244018212621844,True
pere_structure,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.17026054063196377,0.17026054063196377,0.11044414091194749,0.23189968456353743,True
plat,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.05453722680439355,0.05453722680439355,0.03343245968443632,0.07666151344958416,True
plat,immunometabolic,immunometabolic,continuous,lognormal,primary,0.1019173228275503,0.1019173228275503,0.07839468160251302,0.12438007234248957,True
prembrth,overall_severity,developmental_risk,explicit,ordered_logistic,bifactor_G,-0.006757865522196999,0.006757865522196999,-0.06326667182169396,0.05000334284513702,False
prembrth,developmental_risk,developmental_risk,explicit,ordered_logistic,primary,0.05041694710879832,0.05041694710879832,0.003428577932190349,0.14015820626281528,True
psqi,overall_severity,sleep,continuous,gaussian,bifactor_G,0.3630623771453975,0.3630623771453975,0.34127506954378056,0.3852515469435603,True
psqi,sleep,sleep,continuous,gaussian,primary,0.8792688929942024,0.8792688929942024,0.863763194441266,0.8956454837934724,True
psqi11,overall_severity,sleep,continuous,gaussian,bifactor_G,0.10654634049032558,0.10654634049032558,0.08689600456510022,0.12577519903275833,True
psqi11,cognition,sleep,continuous,gaussian,cross,0.04727015658741576,0.04727015658741576,0.025383678677934486,0.06868551346402765,True
psqi11,sleep,sleep,continuous,gaussian,primary,0.4517939713827047,0.4517939713827047,0.4343608091061531,0.47022521797029343,True
psqi12,overall_severity,sleep,continuous,gaussian,bifactor_G,0.01666790010640669,0.01666790010640669,3.7154884168874614e-05,0.03342070507105822,True
psqi12,sleep,sleep,continuous,gaussian,primary,0.367373148217374,0.367373148217374,0.3516282669577554,0.3831485345728803,True
psqi13,overall_severity,sleep,continuous,gaussian,bifactor_G,0.1583024589610525,0.1583024589610525,0.13812817025423607,0.17835080886498883,True
psqi13,sleep,sleep,continuous,gaussian,primary,0.401749154262263,0.401749154262263,0.3834886262735205,0.42089423232304396,True
psqi14,overall_severity,sleep,continuous,gaussian,bifactor_G,0.12060527100174512,0.12060527100174512,0.10006275009962315,0.14168010610970866,True
psqi14,sleep,sleep,continuous,gaussian,primary,0.5144834766706714,0.5144834766706714,0.4952374588278126,0.5342337936408446,True
psqi15,overall_severity,sleep,continuous,gaussian,bifactor_G,0.22191000377216685,0.22191000377216685,0.2012125512600205,0.2417758938018414,True
psqi15,sleep,sleep,continuous,gaussian,primary,0.5509972020675137,0.5509972020675137,0.532929104878562,0.5695551275363926,True
psqi17,overall_severity,sleep,continuous,gaussian,bifactor_G,0.4134563506150538,0.4134563506150538,0.3944667226395954,0.43255698764298417,True
psqi17,cognition,sleep,continuous,gaussian,cross,-0.05090809562928642,0.05090809562928642,-0.07370036504031338,-0.02812796455467521,True
psqi17,sleep,sleep,continuous,gaussian,primary,0.2772521491199852,0.2772521491199852,0.25919117472594544,0.2955334242496307,True
qidsr120,overall_severity,,continuous,gaussian,window,0.6424881612987081,0.6424881612987081,0.6245189123843589,0.6613764200288512,True
qidsr120,cognition,,continuous,gaussian,window,-0.044255647559262895,0.044255647559262895,-0.06622057618830234,-0.021866727506169917,True
qidsr120,sleep,,continuous,gaussian,window,0.2237154686602357,0.2237154686602357,0.20536021549782357,0.24221724046881862,True
qidsr120,suicidality,,continuous,gaussian,window,0.07951821102784393,0.07951821102784393,0.05999759897070853,0.09826288082928201,True
staya,overall_severity,,continuous,gaussian,window,0.5367260829335272,0.5367260829335272,0.5164853368924667,0.5571487533523928,True
staya,sleep,,continuous,gaussian,window,0.19385353721097986,0.19385353721097986,0.17272328383825994,0.2147024341903744,True
sudose_cigarettes_lt,overall_severity,substance,continuous,neg_binomial,bifactor_G,0.07598769305488504,0.07598769305488504,0.05032585607401714,0.10265145581437318,True
sudose_cigarettes_lt,substance,substance,continuous,neg_binomial,primary,0.7206149254990165,0.7206149254990165,0.6930436088154759,0.7474616437309736,True
suoccur_alcool,overall_severity,substance,explicit,bernoulli,bifactor_G,0.013133722630675596,0.013133722630675596,-0.07771157084629353,0.10219733039979749,False
suoccur_alcool,substance,substance,explicit,bernoulli,primary,0.24085033285276564,0.24085033285276564,0.04548164622184137,0.4683396499844993,True
suoccur_cannabis,overall_severity,substance,explicit,bernoulli,bifactor_G,-0.009502194036747375,0.009502194036747375,-0.10020068129233856,0.0808908430242869,False
suoccur_cannabis,substance,substance,explicit,bernoulli,primary,0.209079208653785,0.209079208653785,0.025326792498902594,0.45034574277264766,True
sysbpstanding,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,-0.0403983345466475,0.0403983345466475,-0.06651753707959053,-0.014886410922581588,True
sysbpstanding,immunometabolic,immunometabolic,continuous,gaussian,primary,0.33719623490892137,0.33719623490892137,0.3090714241792524,0.3655744502093018,True
sysbpsupine,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.01112455593707845,0.01112455593707845,-0.00954867564275939,0.03203386164494557,False
sysbpsupine,immunometabolic,immunometabolic,continuous,gaussian,primary,0.2882740416228927,0.2882740416228927,0.26731285042855757,0.3090190076388787,True
t3fr_lbstresc,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,-0.055866922837404825,0.055866922837404825,-0.08007678011882284,-0.03122145167086759,True
